Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match URLs
Mozambique,Rwanda,Mozambique,5 wickets,Benoni,"Dec 17, 2023",T20I # 2408,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/mozambique-vs-rwanda-11th-match-group-a-1412221/full-scorecard
West Indies,England,England,7 wickets,St George's,"Dec 16, 2023",T20I # 2407,https://www.espncricinfo.com/series/england-tour-of-west-indies-2023-24-1373558/west-indies-vs-england-3rd-t20i-1373581/full-scorecard
Botswana,Kenya,Kenya,40 runs,Benoni,"Dec 16, 2023",T20I # 2406,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/botswana-vs-kenya-10th-match-group-b-1412220/full-scorecard
Malawi,Rwanda,Malawi,46 runs,Benoni,"Dec 16, 2023",T20I # 2405,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/malawi-vs-rwanda-9th-match-group-a-1412219/full-scorecard
Mozambique,Uganda,Uganda,51 runs,Benoni,"Dec 15, 2023",T20I # 2404,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/mozambique-vs-uganda-8th-match-group-a-1412218/full-scorecard
Botswana,Sierra Leone,Sierra Leone,2 wickets,Benoni,"Dec 15, 2023",T20I # 2403,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/botswana-vs-sierra-leone-7th-match-group-b-1412217/full-scorecard
West Indies,England,West Indies,10 runs,St George's,"Dec 14, 2023",T20I # 2402,https://www.espncricinfo.com/series/england-tour-of-west-indies-2023-24-1373558/west-indies-vs-england-2nd-t20i-1373580/full-scorecard
South Africa,India,India,106 runs,Johannesburg,"Dec 14, 2023",T20I # 2401,https://www.espncricinfo.com/series/india-in-south-africa-2023-24-1387592/south-africa-vs-india-3rd-t20i-1387599/full-scorecard
Malawi,Mozambique,Malawi,6 wickets,Benoni,"Dec 14, 2023",T20I # 2400,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/malawi-vs-mozambique-6th-match-group-a-1412216/full-scorecard
Ghana,Kenya,Kenya,8 wickets,Benoni,"Dec 13, 2023",T20I # 2399,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/ghana-vs-kenya-5th-match-group-b-1412215/full-scorecard
Malawi,Uganda,Uganda,7 wickets,Benoni,"Dec 13, 2023",T20I # 2398,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/malawi-vs-uganda-4th-match-group-a-1412214/full-scorecard
West Indies,England,West Indies,4 wickets,Bridgetown,"Dec 12, 2023",T20I # 2397,https://www.espncricinfo.com/series/england-tour-of-west-indies-2023-24-1373558/west-indies-vs-england-1st-t20i-1373579/full-scorecard
South Africa,India,South Africa,5 wickets,Gqeberha,"Dec 12, 2023",T20I # 2396,https://www.espncricinfo.com/series/india-in-south-africa-2023-24-1387592/south-africa-vs-india-2nd-t20i-1387598/full-scorecard
Kenya,Sierra Leone,Kenya,8 wickets,Benoni,"Dec 12, 2023",T20I # 2395,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/kenya-vs-sierra-leone-3rd-match-group-b-1412213/full-scorecard
Botswana,Ghana,Botswana,38 runs,Benoni,"Dec 11, 2023",T20I # 2394,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/botswana-vs-ghana-2nd-match-group-b-1412212/full-scorecard
Rwanda,Uganda,Rwanda,2 runs,Benoni,"Dec 11, 2023",T20I # 2393,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/rwanda-vs-uganda-1st-match-group-a-1412211/full-scorecard
Cameroon,Sierra Leone,Sierra Leone,9 wickets,Benoni,"Dec 10, 2023",T20I # 2392,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/cameroon-vs-sierra-leone-9th-match-group-b-1411442/full-scorecard
Zimbabwe,Ireland,Ireland,6 wickets,Harare,"Dec 10, 2023",T20I # 2391,https://www.espncricinfo.com/series/ireland-in-zimbabwe-2023-24-1408099/zimbabwe-vs-ireland-3rd-t20i-1408105/full-scorecard
Gambia,Ghana,Ghana,98 runs,Benoni,"Dec 10, 2023",T20I # 2390,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/gambia-vs-ghana-8th-match-group-a-1411435/full-scorecard
Mali,Sierra Leone,Sierra Leone,8 wickets,Benoni,"Dec 9, 2023",T20I # 2389,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/mali-vs-sierra-leone-7th-match-group-b-1411440/full-scorecard
Zimbabwe,Ireland,Ireland,4 wickets,Harare,"Dec 9, 2023",T20I # 2388,https://www.espncricinfo.com/series/ireland-in-zimbabwe-2023-24-1408099/zimbabwe-vs-ireland-2nd-t20i-1408104/full-scorecard
Ghana,Rwanda,Rwanda,3 wickets,Benoni,"Dec 9, 2023",T20I # 2387,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/ghana-vs-rwanda-6th-match-group-a-1411441/full-scorecard
Kenya,Mali,Kenya,10 wickets,Benoni,"Dec 8, 2023",T20I # 2386,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/kenya-vs-mali-5th-match-group-b-1411438/full-scorecard
Gambia,Rwanda,Rwanda,4 wickets,Benoni,"Dec 8, 2023",T20I # 2385,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/gambia-vs-rwanda-4th-match-group-a-1411439/full-scorecard
Zimbabwe,Ireland,Zimbabwe,1 wicket,Harare,"Dec 7, 2023",T20I # 2384,https://www.espncricinfo.com/series/ireland-in-zimbabwe-2023-24-1408099/zimbabwe-vs-ireland-1st-t20i-1408103/full-scorecard
Kenya,Sierra Leone,Kenya,8 wickets,Benoni,"Dec 7, 2023",T20I # 2383,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/kenya-vs-sierra-leone-3rd-match-group-b-1411436/full-scorecard
Cameroon,Mali,Cameroon,39 runs,Benoni,"Dec 7, 2023",T20I # 2382,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/cameroon-vs-mali-2nd-match-group-b-1411437/full-scorecard
Cameroon,Kenya,Kenya,10 wickets,Benoni,"Dec 6, 2023",T20I # 2381,https://www.espncricinfo.com/series/east-west-africa-cup-qualifiers-2023-24-1411423/cameroon-vs-kenya-1st-match-group-b-1411434/full-scorecard
India,Australia,India,6 runs,Bengaluru,"Dec 3, 2023",T20I # 2380,https://www.espncricinfo.com/series/australia-in-india-2023-24-1389381/india-vs-australia-5th-t20i-1389395/full-scorecard
India,Australia,India,20 runs,Raipur,"Dec 1, 2023",T20I # 2379,https://www.espncricinfo.com/series/australia-in-india-2023-24-1389381/india-vs-australia-4th-t20i-1389394/full-scorecard
Namibia,Nigeria,Namibia,8 wickets,Windhoek,"Nov 30, 2023",T20I # 2378,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/namibia-vs-nigeria-21st-match-1407109/full-scorecard
Kenya,Zimbabwe,Zimbabwe,110 runs,Windhoek,"Nov 30, 2023",T20I # 2376,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/kenya-vs-zimbabwe-19th-match-1407107/full-scorecard
Rwanda,Uganda,Uganda,9 wickets,Windhoek,"Nov 30, 2023",T20I # 2377,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/rwanda-vs-uganda-20th-match-1407108/full-scorecard
Kenya,Uganda,Uganda,33 runs,Windhoek,"Nov 29, 2023",T20I # 2375,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/kenya-vs-uganda-18th-match-1407106/full-scorecard
Nigeria,Zimbabwe,Zimbabwe,6 wickets,Windhoek,"Nov 29, 2023",T20I # 2373,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/nigeria-vs-zimbabwe-16th-match-1407104/full-scorecard
Rwanda,Tanzania,Tanzania,51 runs,Windhoek,"Nov 29, 2023",T20I # 2374,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/rwanda-vs-tanzania-17th-match-1407105/full-scorecard
India,Australia,Australia,5 wickets,Guwahati,"Nov 28, 2023",T20I # 2372,https://www.espncricinfo.com/series/australia-in-india-2023-24-1389381/india-vs-australia-3rd-t20i-1389393/full-scorecard
Namibia,Tanzania,Namibia,58 runs,Windhoek,"Nov 28, 2023",T20I # 2371,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/namibia-vs-tanzania-15th-match-1407103/full-scorecard
Namibia,Kenya,Namibia,6 wickets,Windhoek,"Nov 27, 2023",T20I # 2368,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/namibia-vs-kenya-12th-match-1407102/full-scorecard
Rwanda,Zimbabwe,Zimbabwe,144 runs,Windhoek,"Nov 27, 2023",T20I # 2369,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/rwanda-vs-zimbabwe-13th-match-1407101/full-scorecard
Nigeria,Uganda,Uganda,9 wickets,Windhoek,"Nov 27, 2023",T20I # 2370,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/nigeria-vs-uganda-14th-match-1407100/full-scorecard
India,Australia,India,44 runs,Thiruvananthapuram,"Nov 26, 2023",T20I # 2367,https://www.espncricinfo.com/series/australia-in-india-2023-24-1389381/india-vs-australia-2nd-t20i-1389392/full-scorecard
Nigeria,Tanzania,Nigeria,3 wickets,Windhoek,"Nov 26, 2023",T20I # 2366,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/nigeria-vs-tanzania-11th-match-1407098/full-scorecard
Uganda,Zimbabwe,Uganda,5 wickets,Windhoek,"Nov 26, 2023",T20I # 2365,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/uganda-vs-zimbabwe-10th-match-1407099/full-scorecard
Namibia,Rwanda,Namibia,68 runs,Windhoek,"Nov 25, 2023",T20I # 2364,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/namibia-vs-rwanda-9th-match-1407097/full-scorecard
Kenya,Tanzania,Kenya,50 runs,Windhoek,"Nov 25, 2023",T20I # 2363,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/kenya-vs-tanzania-8th-match-1407096/full-scorecard
Namibia,Uganda,Namibia,6 wickets,Windhoek,"Nov 24, 2023",T20I # 2362,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/namibia-vs-uganda-7th-match-1407095/full-scorecard
Nigeria,Rwanda,no result,-,Windhoek,"Nov 24, 2023",T20I # 2361,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/nigeria-vs-rwanda-6th-match-1407094/full-scorecard
India,Australia,India,2 wickets,Visakhapatnam,"Nov 23, 2023",T20I # 2360,https://www.espncricinfo.com/series/australia-in-india-2023-24-1389381/india-vs-australia-1st-t20i-1389391/full-scorecard
Tanzania,Zimbabwe,Zimbabwe,9 wickets,Windhoek,"Nov 23, 2023",T20I # 2359,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/tanzania-vs-zimbabwe-5th-match-1407093/full-scorecard
Kenya,Nigeria,Kenya,4 wickets,Windhoek,"Nov 23, 2023",T20I # 2358,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/kenya-vs-nigeria-4th-match-1407092/full-scorecard
Indonesia,Cambodia,Indonesia,-,Bali,"Nov 23, 2023",T20I # 2357,https://www.espncricinfo.com/series/cambodia-in-indonesia-2023-24-1407430/indonesia-vs-cambodia-6th-t20i-1407719/full-scorecard
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Nov 22, 2023",T20I # 2356,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/namibia-vs-zimbabwe-3rd-match-1407091/full-scorecard
Kenya,Rwanda,Kenya,17 runs,Windhoek,"Nov 22, 2023",T20I # 2354,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/kenya-vs-rwanda-1st-match-1407089/full-scorecard
Tanzania,Uganda,Uganda,8 wickets,Windhoek,"Nov 22, 2023",T20I # 2355,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-africa-region-qualifier-2023-24-1407043/tanzania-vs-uganda-2nd-match-1407090/full-scorecard
Indonesia,Cambodia,Cambodia,7 wickets,Bali,"Nov 22, 2023",T20I # 2353,https://www.espncricinfo.com/series/cambodia-in-indonesia-2023-24-1407430/indonesia-vs-cambodia-5th-t20i-1407718/full-scorecard
Indonesia,Cambodia,Indonesia,104 runs,Bali,"Nov 21, 2023",T20I # 2352,https://www.espncricinfo.com/series/cambodia-in-indonesia-2023-24-1407430/indonesia-vs-cambodia-4th-t20i-1407717/full-scorecard
Indonesia,Cambodia,Cambodia,8 wickets,Bali,"Nov 21, 2023",T20I # 2351,https://www.espncricinfo.com/series/cambodia-in-indonesia-2023-24-1407430/indonesia-vs-cambodia-3rd-t20i-1407716/full-scorecard
Indonesia,Cambodia,Indonesia,8 wickets,Bali,"Nov 20, 2023",T20I # 2350,https://www.espncricinfo.com/series/cambodia-in-indonesia-2023-24-1407430/indonesia-vs-cambodia-2nd-t20i-1407715/full-scorecard
Indonesia,Cambodia,Indonesia,7 wickets,Bali,"Nov 20, 2023",T20I # 2349,https://www.espncricinfo.com/series/cambodia-in-indonesia-2023-24-1407430/indonesia-vs-cambodia-1st-t20i-1407714/full-scorecard
Nepal,Oman,tied,-,Kirtipur,"Nov 5, 2023",T20I # 2348,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/nepal-vs-oman-final-1405327/full-scorecard
Bahrain,Oman,Oman,10 wickets,Kirtipur,"Nov 3, 2023",T20I # 2346,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/bahrain-vs-oman-1st-semi-final-1405325/full-scorecard
Nepal,U.A.E.,Nepal,8 wickets,Mulpani,"Nov 3, 2023",T20I # 2347,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/nepal-vs-united-arab-emirates-2nd-semi-final-1405326/full-scorecard
Malaysia,Singapore,Malaysia,60 runs,Kirtipur,"Nov 2, 2023",T20I # 2344,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/malaysia-vs-singapore-11th-match-group-a-1405323/full-scorecard
Bahrain,Kuwait,Kuwait,4 wickets,Mulpani,"Nov 2, 2023",T20I # 2345,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/bahrain-vs-kuwait-12th-match-group-b-1405324/full-scorecard
Nepal,Oman,Oman,5 runs,Kirtipur,"Nov 2, 2023",T20I # 2342,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/nepal-vs-oman-9th-match-group-a-1405321/full-scorecard
Hong Kong,U.A.E.,U.A.E.,22 runs,Mulpani,"Nov 2, 2023",T20I # 2343,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/hong-kong-vs-united-arab-emirates-10th-match-group-b-1405322/full-scorecard
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,"Oct 31, 2023",T20I # 2340,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/nepal-vs-malaysia-7th-match-group-a-1405319/full-scorecard
Kuwait,U.A.E.,U.A.E.,5 wickets,Mulpani,"Oct 31, 2023",T20I # 2341,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/kuwait-vs-united-arab-emirates-8th-match-group-b-1405320/full-scorecard
Oman,Singapore,Oman,22 runs,Kirtipur,"Oct 31, 2023",T20I # 2338,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/oman-vs-singapore-5th-match-group-a-1405317/full-scorecard
Bahrain,Hong Kong,Bahrain,20 runs,Mulpani,"Oct 31, 2023",T20I # 2339,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/bahrain-vs-hong-kong-6th-match-group-b-1405318/full-scorecard
Namibia,Zimbabwe,Namibia,8 runs,Windhoek,"Oct 30, 2023",T20I # 2337,https://www.espncricinfo.com/series/zimbabwe-in-namibia-2023-24-1404388/namibia-vs-zimbabwe-5th-t20i-1404394/full-scorecard
Malaysia,Oman,Oman,32 runs,Kirtipur,"Oct 30, 2023",T20I # 2335,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/malaysia-vs-oman-3rd-match-group-a-1405315/full-scorecard
Hong Kong,Kuwait,Hong Kong,16 runs,Mulpani,"Oct 30, 2023",T20I # 2336,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/hong-kong-vs-kuwait-4th-match-group-b-1405316/full-scorecard
Bahrain,U.A.E.,U.A.E.,5 wickets,Mulpani,"Oct 30, 2023",T20I # 2333,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/bahrain-vs-united-arab-emirates-1st-match-group-b-1405313/full-scorecard
Nepal,Singapore,Nepal,8 wickets,Kirtipur,"Oct 30, 2023",T20I # 2334,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-asia-qualifier-final-2023-24-1405299/nepal-vs-singapore-2nd-match-group-a-1405314/full-scorecard
Namibia,Zimbabwe,Namibia,7 wickets,Windhoek,"Oct 29, 2023",T20I # 2332,https://www.espncricinfo.com/series/zimbabwe-in-namibia-2023-24-1404388/namibia-vs-zimbabwe-4th-t20i-1404393/full-scorecard
Namibia,Zimbabwe,Zimbabwe,6 wickets,Windhoek,"Oct 27, 2023",T20I # 2331,https://www.espncricinfo.com/series/zimbabwe-in-namibia-2023-24-1404388/namibia-vs-zimbabwe-3rd-t20i-1404392/full-scorecard
Nepal,U.A.E.,U.A.E.,4 wickets,Kirtipur,"Oct 27, 2023",T20I # 2330,https://www.espncricinfo.com/series/nepal-tri-nation-t20i-series-2023-24-1403272/nepal-vs-united-arab-emirates-final-1403294/full-scorecard
Hong Kong,U.A.E.,Hong Kong,69 runs,Mulpani,"Oct 25, 2023",T20I # 2328,https://www.espncricinfo.com/series/nepal-tri-nation-t20i-series-2023-24-1403272/hong-kong-vs-united-arab-emirates-6th-match-1403293/full-scorecard
